iter	Passed	Remaining
591	3466	2389
592	3474	2384
593	3480	2378
594	3484	2372
595	3491	2367
596	3498	2361
597	3504	2356
598	3510	2349
599	3515	2343
600	3521	2337
601	3526	2331
602	3532	2325
603	3538	2320
604	3544	2314
605	3549	2307
606	3556	2302
607	3561	2296
608	3567	2290
609	3572	2284
610	3578	2278
611	3584	2272
612	3590	2266
613	3596	2260
614	3601	2254
615	3606	2248
616	3611	2242
617	3617	2236
618	3622	2229
619	3628	2223
620	3633	2217
621	3640	2212
622	3647	2207
623	3654	2201
624	3661	2196
625	3667	2191
626	3674	2185
627	3680	2179
628	3685	2173
629	3691	2167
630	3696	2161
631	3702	2155
632	3711	2151
633	3720	2147
634	3725	2141
635	3732	2135
636	3737	2130
637	3743	2124
638	3749	2118
639	3754	2112
640	3761	2106
641	3766	2100
642	3772	2094
643	3778	2088
644	3783	2082
645	3792	2078
646	3800	2073
647	3807	2068
648	3813	2062
649	3818	2056
650	3824	2050
651	3830	2044
652	3835	2038
653	3840	2032
654	3846	2026
655	3854	2021
656	3859	2015
657	3864	2008
658	3869	2002
659	3875	1996
660	3880	1989
661	3885	1984
662	3891	1978
663	3896	1971
664	3901	1965
665	3906	1959
666	3911	1952
667	3916	1946
668	3920	1939
669	3925	1933
670	3932	1928
671	3938	1922
672	3945	1916
673	3951	1911
674	3957	1905
675	3962	1899
676	3968	1893
677	3973	1887
678	3978	1880
679	3986	1875
680	3992	1870
681	3997	1863
682	4002	1857
683	4007	1851
684	4012	1845
685	4017	1838
686	4022	1832
687	4027	1826
688	4032	1820
689	4037	1813
690	4042	1807
691	4047	1801
692	4052	1795
693	4056	1788
694	4062	1782
695	4066	1776
696	4071	1770
697	4076	1763
698	4081	1757
699	4085	1751
700	4091	1745
701	4095	1738
702	4102	1733
703	4108	1727
704	4115	1721
705	4121	1716
706	4126	1710
707	4132	1704
708	4137	1698
709	4142	1692
710	4148	1686
711	4155	1680
712	4162	1675
713	4169	1670
714	4176	1664
715	4180	1658
716	4185	1652
717	4191	1646
718	4196	1639
719	4201	1633
720	4206	1627
721	4210	1621
722	4215	1615
723	4220	1608
724	4225	1602
725	4230	1596
726	4234	1590
727	4239	1584
728	4244	1577
729	4249	1571
730	4254	1565
731	4259	1559
732	4264	1553
733	4269	1547
734	4276	1541
735	4282	1536
736	4288	1530
737	4294	1524
738	4301	1519
739	4306	1513
740	4311	1507
741	4317	1501
742	4322	1495
743	4327	1489
744	4334	1483
745	4340	1478
746	4345	1471
747	4351	1465
748	4356	1459
749	4361	1453
750	4366	1447
751	4371	1441
752	4376	1435
753	4381	1429
754	4386	1423
755	4391	1417
756	4395	1411
757	4400	1404
758	4405	1398
759	4410	1392
760	4415	1386
761	4419	1380
762	4424	1374
763	4429	1368
764	4432	1361
765	4436	1355
766	4444	1350
767	4450	1344
768	4455	1338
769	4461	1332
770	4468	1327
771	4474	1321
772	4479	1315
773	4485	1309
774	4490	1303
775	4496	1297
776	4501	1292
777	4509	1286
778	4514	1280
779	4519	1274
780	4524	1268
781	4529	1262
782	4534	1256
783	4539	1250
784	4543	1244
785	4548	1238
786	4553	1232
787	4558	1226
788	4562	1220
789	4567	1214
790	4572	1208
791	4577	1202
792	4582	1196
793	4586	1190
794	4591	1183
795	4596	1178
796	4601	1171
797	4606	1165
798	4611	1159
799	4618	1154
800	4624	1148
801	4630	1143
802	4636	1137
803	4642	1131
804	4648	1125
805	4653	1120
806	4659	1114
807	4664	1108
808	4670	1102
809	4675	1096
810	4681	1090
811	4687	1085
812	4694	1079
813	4701	1074
814	4708	1068
815	4713	1062
816	4718	1056
817	4723	1050
818	4729	1045
819	4734	1039
820	4739	1033
821	4744	1027
822	4749	1021
823	4754	1015
824	4758	1009
825	4763	1003
826	4768	997
827	4773	991
828	4778	985
829	4783	979
830	4790	974
831	4797	968
832	4805	963
833	4812	957
834	4818	952
835	4824	946
836	4830	940
837	4836	935
838	4845	929
839	4850	923
840	4856	918
841	4862	912
842	4867	906
843	4872	900
844	4879	895
845	4886	889
846	4892	883
847	4903	878
848	4911	873
849	4920	868
850	4926	862
851	4934	857
852	4941	851
853	4947	845
854	4952	839
855	4959	834
856	4965	828
857	4971	822
858	4978	817
859	4985	811
860	4991	805
861	4996	799
862	5002	794
863	5008	788
864	5014	782
865	5020	776
866	5028	771
867	5035	765
868	5042	760
869	5048	754
870	5053	748
871	5058	742
872	5063	736
873	5069	730
874	5074	724
875	5078	718
876	5083	712
877	5088	707
878	5093	701
879	5097	695
880	5102	689
881	5107	683
882	5112	677
883	5118	671
884	5124	665
885	5130	660
886	5136	654
887	5142	648
888	5148	642
889	5154	637
890	5160	631
891	5165	625
892	5170	619
893	5176	613
894	5181	607
895	5187	602
896	5195	596
897	5200	590
898	5205	584
899	5210	578
900	5216	573
901	5220	567
902	5225	561
903	5230	555
904	5235	549
905	5240	543
906	5243	537
907	5248	531
908	5253	525
909	5257	520
910	5263	514
911	5267	508
912	5272	502
913	5277	496
914	5282	490
915	5287	484
916	5292	479
917	5296	473
918	5303	467
919	5308	461
920	5312	455
921	5318	449
922	5324	444
923	5330	438
924	5336	432
925	5343	427
926	5349	421
927	5354	415
928	5360	409
929	5365	403
930	5370	398
931	5379	392
932	5384	386
933	5389	380
934	5395	375
935	5401	369
936	5405	363
937	5412	357
938	5417	351
939	5422	346
940	5426	340
941	5431	334
942	5436	328
943	5441	322
944	5446	316
945	5451	311
946	5456	305
947	5461	299
948	5465	293
949	5472	288
950	5478	282
951	5484	276
952	5489	270
953	5494	264
954	5500	259
955	5505	253
956	5510	247
957	5515	241
958	5521	236
959	5526	230
960	5532	224
961	5537	218
962	5542	212
963	5547	207
964	5553	201
965	5561	195
966	5567	189
967	5572	184
968	5577	178
969	5582	172
970	5587	166
971	5591	161
972	5597	155
973	5601	149
974	5606	143
975	5611	137
976	5616	132
977	5621	126
978	5626	120
979	5630	114
980	5635	109
981	5640	103
982	5647	97
983	5653	91
984	5659	86
985	5666	80
986	5672	74
987	5677	68
988	5683	63
989	5688	57
990	5694	51
991	5699	45
992	5704	40
993	5711	34
994	5717	28
995	5722	22
996	5728	17
997	5733	11
998	5738	5
999	5744	0
